lemma,variant,language,language_family,colour_family,semantic_category,semantic_group,meaning,confidence,source,notes
amanikere,amanikere,Kannada,Dravidian,yellow,hydrology,water,Rain-fed tank,probable,,added in v2 lexicon expansion
bhavi,bhavi,Kannada,Dravidian,yellow,hydrology,water,Well,probable,,added in v2 lexicon expansion
bowli,bowli,Hindi/Urdu,Indo-Aryan,red,hydrology,water,Stepwell,attested,,
chira,chira,Malayalam,Dravidian,yellow,hydrology,water,Dam or bund constructed to hold back water,attested,,
dam,dam,Malayalam,Dravidian,yellow,hydrology,water,Dam or bund constructed to hold back water (probably),speculative,,
eri,ere,Kannada,Dravidian,yellow,hydrology,water,Unknown,speculative,,
eri,eri,Tamil,Dravidian,yellow,hydrology,water,Lake,attested,,
ghat,ghat,Bengali/Hindi,Indo-Aryan,red,hydrology,water,River Landing / Steps,attested,,also attested as Sanskrit
godi,godi,Kannada,Dravidian,yellow,hydrology,water,Unknown,speculative,,
hauz,hauz,Persian/Urdu,Perso-Arabic,purple,hydrology,water,A man-made water reservoir,attested,,
juli,juli,Assamese,Indo-Aryan,red,hydrology,water,Stream,attested,,
katte,katte,Kannada,Dravidian,yellow,hydrology,water,Tank bund / raised stone platform,probable,,added in v2 lexicon expansion
kere,kere,Kannada,Dravidian,yellow,hydrology,water,Lake,attested,,
kulam,kulam,Malayalam,Dravidian,yellow,hydrology,water,Pond,attested,,
kundi,kundi,Kannada,Dravidian,yellow,hydrology,water,Unknown,speculative,,
kunte,gunta,Kannada,Dravidian,yellow,hydrology,water,Pond / small tank,probable,,added in v2 lexicon expansion
kunte,gunte,Kannada,Dravidian,yellow,hydrology,water,Pond / small tank,probable,,added in v2 lexicon expansion
kunte,kunta,Telugu,Dravidian,yellow,hydrology,water,Pond,attested,,
kunte,kunte,Kannada,Dravidian,yellow,hydrology,water,Pond / small tank,probable,,added in v2 lexicon expansion
kuva,kuva,Gujarati,Indo-Aryan,red,hydrology,water,Well,attested,,
mukh,mukh,Malayalam/Sanskrit,Dravidian,yellow,hydrology,water,Face / Mouth (River),attested,,
pukhuri,pukhuri,Assamese,Indo-Aryan,red,hydrology,water,Pond,attested,,
pukur,pukur,Bengali,Indo-Aryan,red,hydrology,water,Pond,attested,,
puzha,puzha,Malayalam,Dravidian,yellow,hydrology,water,River,attested,,
sandra,sandra,Kannada,Dravidian,yellow,hydrology,water,Lake Bed,attested,,
sar,sar,Rajasthani,Indo-Aryan,red,hydrology,water,Lake / Pond,attested,,
thangal,thangal,Tamil,Dravidian,yellow,hydrology,water,Tank / Lake,attested,,
bandar,bandar,Marathi,Indo-Aryan,red,infrastructure,built_social,Harbor / Port,attested,,
bandar,bunder,Marathi,Indo-Aryan,red,infrastructure,built_social,Harbor / Port,attested,,
chowki,chowki,Hindi,Indo-Aryan,red,infrastructure,built_social,Police station,attested,,
marg,marg,Sanskrit/Hindi,Indo-Aryan,red,infrastructure,built_social,Road / Path,attested,,
naka,naka,Marathi,Indo-Aryan,red,infrastructure,built_social,Street corner,attested,,
thura,thura,Malayalam,Dravidian,yellow,infrastructure,built_social,Harbor / Port,attested,,
byrathi,byrathi,Kannada,Dravidian,yellow,other,unresolved,Unknown,speculative,,
dinne,dinne,Kannada,Dravidian,yellow,other,unresolved,Mound / hillock,probable,,added in v2 lexicon expansion
grounds,grounds,English,English,blue,other,unresolved,Open ground,attested,,added in v2 lexicon expansion
khane,khane,Persian,Perso-Arabic,purple,other,unresolved,House / quarter,probable,,added in v2 lexicon expansion
kodi,kodi,Kannada,Dravidian,yellow,other,unresolved,End / edge / boundary,probable,,added in v2 lexicon expansion
ruthy,ruthy,Malayalam,Dravidian,yellow,other,unresolved,Unknown,speculative,,
vathy,vathy,Malayalam,Dravidian,yellow,other,unresolved,Unknown,speculative,,
block,block,English,English,blue,planned_administrative,planned_admin,Admin Block,attested,,
camp,camp,English,English,blue,planned_administrative,planned_admin,Cantonment,attested,,
circle,circle,English,English,blue,planned_administrative,planned_admin,A flat round area,attested,,
colony,colony,English,English,blue,planned_administrative,planned_admin,Settlement,attested,,
complex,complex,English,English,blue,planned_administrative,planned_admin,Group of connected buildings,attested,,
compound,compound,English,English,blue,planned_administrative,planned_admin,Gated area,attested,,
east,east,English,English,blue,planned_administrative,planned_admin,Direction,attested,,
enclave,enclave,English,English,blue,planned_administrative,planned_admin,Enclave,attested,,
estate,estate,English,English,blue,planned_administrative,planned_admin,Unknown,speculative,,
extension,extension,English,English,blue,planned_administrative,planned_admin,Extended neighbourhood,attested,,
layout,layout,English,English,blue,planned_administrative,planned_admin,Planned Area,attested,,
lines,lines,English,English,blue,planned_administrative,planned_admin,Unknown,speculative,,
maidan,maidan,Hindi/Urdu,Indo-Aryan,red,planned_administrative,planned_admin,Ground,attested,,
phase,phase,English,English,blue,planned_administrative,planned_admin,Phase,attested,,
point,point,English,English,blue,planned_administrative,planned_admin,Location,attested,,
quarters,quarters,English,English,blue,planned_administrative,planned_admin,Part of a town,attested,,
scheme,scheme,English,English,blue,planned_administrative,planned_admin,Layout,attested,,
sector,sector,English,English,blue,planned_administrative,planned_admin,Sector,attested,,
society,society,English,English,blue,planned_administrative,planned_admin,Society,attested,,
square,square,English,English,blue,planned_administrative,planned_admin,Open space in a town,attested,,
stage,stage,English,English,blue,planned_administrative,planned_admin,Stage,attested,,
west,west,English,English,blue,planned_administrative,planned_admin,Direction,attested,,
zone,zone,English,English,blue,planned_administrative,planned_admin,An area different from surrounding,attested,,
deo,deo,Marathi,Indo-Aryan,red,religious,built_social,Unknown,speculative,,
devi,devi,Sanskrit,Indo-Aryan,red,religious,built_social,Goddess,attested,,
dham,dham,Sanskrit,Indo-Aryan,red,religious,built_social,Divine abode,attested,,
eshwar,eshwar,Sanskrit,Indo-Aryan,red,religious,built_social,God or divine figure,attested,,
gudi,gudi,Kannada,Dravidian,yellow,religious,built_social,Unknown,speculative,,
kendra,kendra,Hindi,Indo-Aryan,red,religious,built_social,Centre for some activity,attested,,
mandir,mandir,Hindi,Indo-Aryan,red,religious,built_social,Temple,attested,,
matha,matha,Kannada,Dravidian,yellow,religious,built_social,Monastery / religious establishment,attested,,added in v2 lexicon expansion
pally,pally,Malayalam,Dravidian,yellow,religious,built_social,A settlement associated with non-hindu shrines,attested,,
pally,pilly,Malayalam,Dravidian,yellow,religious,built_social,A settlement associated with non-hindu shrines,attested,,
agrahara,agrahara,Kannada,Dravidian,yellow,settlement,settlement,Unknown,speculative,,
akkam,akkam,Tamil,Dravidian,yellow,settlement,settlement,Settlement,attested,,
alam,alam,Malayalam,Dravidian,yellow,settlement,settlement,Region / Locality,attested,,
aram,aram,Kannada,Dravidian,yellow,settlement,settlement,Unknown,speculative,,
bad,bad,Persian/Urdu,Perso-Arabic,purple,settlement,settlement,City (Abad),attested,,
basti,basthi,Hindi/Urdu,Indo-Aryan,red,settlement,settlement,Settlement,attested,,
basti,basti,Hindi/Urdu,Indo-Aryan,red,settlement,settlement,Settlement,attested,,
bele,bele,Kannada,Dravidian,yellow,settlement,settlement,Crop / cultivated field,speculative,,added in v2 lexicon expansion
budruk,budruk,Marathi,Indo-Aryan,red,settlement,settlement,Greater / Senior (Village suffix),attested,,
cheri,cheri,Malayalam,Dravidian,yellow,settlement,settlement,Settlement / Street,attested,,
cheri,cherry,Malayalam,Dravidian,yellow,settlement,settlement,A residential area or a settlement,attested,,
cheri,sery,Malayalam,Dravidian,yellow,settlement,settlement,Settlement / Street,attested,,
cheri,sherry,Malayalam,Dravidian,yellow,settlement,settlement,A residential area or a settlement,attested,,
chuk,chuk,Assamese,Indo-Aryan,red,settlement,settlement,Corner / Quarter,attested,,
city,city,English,English,blue,settlement,settlement,City,attested,,
doddi,doddi,Kannada,Dravidian,yellow,settlement,settlement,Cattle pen / enclosure,probable,,added in v2 lexicon expansion
em,em,Konkani,Indo-Aryan,red,settlement,settlement,Village / Settlement (Locative),attested,,
gam,gam,Gujarati,Indo-Aryan,red,settlement,settlement,Village,attested,,
gaon,gaon,Marathi,Indo-Aryan,red,settlement,settlement,Village,attested,,
gaothan,gaothan,Marathi,Indo-Aryan,red,settlement,settlement,Site of a village,attested,,
guda,guda,Telugu,Dravidian,yellow,settlement,settlement,Hamlet / Village,attested,,
gudem,gudem,Telugu,Dravidian,yellow,settlement,settlement,Hamlet / Village,attested,,
halli,alli,Kannada,Dravidian,yellow,settlement,settlement,Village (sandhi variant of -halli),attested,,added in v2 lexicon expansion
halli,halli,Kannada,Dravidian,yellow,settlement,settlement,Village,attested,,
hatti,hatti,Kannada,Dravidian,yellow,settlement,settlement,Hamlet / cattle settlement,probable,,added in v2 lexicon expansion
im,im,Konkani,Indo-Aryan,red,settlement,settlement,Village / Settlement (Locative),attested,,
kalan,kalan,Persian,Perso-Arabic,purple,settlement,settlement,Big (Senior),attested,,
khera,khera,Hindi,Indo-Aryan,red,settlement,settlement,Mound / Village,attested,,
khurd,khurd,Persian,Perso-Arabic,purple,settlement,settlement,Small (Junior),attested,,
kuppam,kuppam,Tamil,Dravidian,yellow,settlement,settlement,Fishing Hamlet,attested,,
lim,lim,Konkani,Indo-Aryan,red,settlement,settlement,Village (from Halli),attested,,
mangala,mangala,Kannada,Dravidian,yellow,settlement,settlement,Unknown,speculative,,
nagar,nagar,Sanskrit,Indo-Aryan,red,settlement,settlement,City,attested,,
nagar,nagara,Sanskrit,Indo-Aryan,red,settlement,settlement,City,attested,,
nagar,nagari,Hindi,Indo-Aryan,red,settlement,settlement,City,attested,,
ner,ner,Rajasthani,Indo-Aryan,red,settlement,settlement,City / Place,attested,,
oli,oli,Sanskrit,Indo-Aryan,red,settlement,settlement,Village,attested,,
pada,pada,Marathi,Indo-Aryan,red,settlement,settlement,Hamlet / Village,attested,,also attested as Sanskrit
pady,pady,Malayalam,Dravidian,yellow,settlement,settlement,Village / Settlement,attested,,
pakhadi,pakhadi,Sanskrit,Indo-Aryan,red,settlement,settlement,Side/Quarter,attested,,
pakkam,pakkam,Tamil,Dravidian,yellow,settlement,settlement,Seaside Village / Coastal Settlement,attested,,
palya,palaya,Kannada,Dravidian,yellow,settlement,settlement,Unknown,speculative,,
palya,palya,Kannada,Dravidian,yellow,settlement,settlement,An area ruled by a chief,attested,,
palya,palyam,Kannada,Dravidian,yellow,settlement,settlement,Unknown,speculative,,
para,para,Bengali,Indo-Aryan,red,settlement,settlement,Neighborhood,attested,,
patnam,patnam,Telugu,Dravidian,yellow,settlement,settlement,Port / Town,attested,,
pattanam,pattanam,Malayalam,Dravidian,yellow,settlement,settlement,Seaside Village / Coastal Settlement,attested,,
pura,pore,Sanskrit,Indo-Aryan,red,settlement,settlement,City/Town,attested,,
pura,pur,Sanskrit,Indo-Aryan,red,settlement,settlement,City / Fort,attested,,
pura,pura,Sanskrit,Indo-Aryan,red,settlement,settlement,City/Town,attested,,
pura,puram,Sanskrit,Indo-Aryan,red,settlement,settlement,City/Town,attested,,
pura,puri,Sanskrit,Indo-Aryan,red,settlement,settlement,City / Fort,attested,,
tola,tola,Bengali,Indo-Aryan,red,settlement,settlement,Quarter / Locality,attested,,
town,town,English,English,blue,settlement,settlement,Town,attested,,
township,township,English,English,blue,settlement,settlement,Township,attested,,
tuli,tuli,Bengali,Indo-Aryan,red,settlement,settlement,Quarter / Locality,attested,,
ur,oor,Malayalam,Dravidian,yellow,settlement,settlement,Town / Village,attested,,
ur,ur,Kannada,Dravidian,yellow,settlement,settlement,Settlement,attested,,also attested as Malayalam
ur,uru,Kannada,Dravidian,yellow,settlement,settlement,Settlement,attested,,
vaddo,vaddo,Konkani,Indo-Aryan,red,settlement,settlement,Ward / Hamlet,attested,,
vali,vali,Marathi,Indo-Aryan,red,settlement,settlement,Town,attested,,
vara,vara,Kannada,Dravidian,yellow,settlement,settlement,Settlement,speculative,,added in v2 lexicon expansion
vas,vas,Sanskrit/Hindi,Indo-Aryan,red,settlement,settlement,Dwelling / Residence,attested,,
vattom,vattom,Malayalam,Dravidian,yellow,settlement,settlement,Settlement area,attested,,
village,village,English,English,blue,settlement,settlement,Village,attested,,
bande,bande,Kannada,Dravidian,yellow,topography,land,Rock / boulder outcrop,probable,,added in v2 lexicon expansion
betta,betta,Kannada,Dravidian,yellow,topography,land,Hill,attested,,added in v2 lexicon expansion
danga,danga,Bengali,Indo-Aryan,red,topography,land,High Land,attested,,
ghatta,gatta,Kannada,Dravidian,yellow,topography,land,Hill / ridge,probable,,added in v2 lexicon expansion
ghatta,ghatta,Kannada,Dravidian,yellow,topography,land,Hill / ridge,probable,,added in v2 lexicon expansion
giri,giri,Kannada,Dravidian,yellow,topography,land,Hill,attested,,
gudda,gudda,Kannada,Dravidian,yellow,topography,land,Hill / hillock,probable,,added in v2 lexicon expansion
guppe,guppe,Kannada,Dravidian,yellow,topography,land,Elevated grounds,attested,,
gutta,gutta,Telugu,Dravidian,yellow,topography,land,Small hill,attested,,
hill,hill,English,English,blue,topography,land,Hill,attested,,
hill,hills,English,English,blue,topography,land,Hill,attested,,
kallu,kallu,Kannada,Dravidian,yellow,topography,land,Stone / rock,probable,,added in v2 lexicon expansion
khind,khind,Marathi,Indo-Aryan,red,topography,land,Mountain Pass,attested,,
madu,madu,Kannada,Dravidian,yellow,topography,land,Pool / hollow / low ground,speculative,,added in v2 lexicon expansion
malai,malai,Tamil,Dravidian,yellow,topography,land,Hill / Mount,attested,,
met,met,Telugu,Dravidian,yellow,topography,land,Height / Hill,attested,,
tekdi,tekdi,Marathi,Indo-Aryan,red,topography,land,Hill,attested,,
